gmd,channel,bunch,aligned_trains,sample_n,finite_n,finite_fraction,min,p01,median,p99,max
hall,4,8,4330,4330,4330,1.0,0.04887520521879196,0.055969446897506714,0.07041111588478088,0.09827680103480815,0.3365381956100464
hall,4,9,4330,4330,4330,1.0,0.04928489029407501,0.055007753670215605,0.07055581361055374,0.09793627075850964,0.1200176402926445
hall,4,10,4330,4330,4330,1.0,0.05039617791771889,0.054987046867609024,0.07055581361055374,0.09825830928981304,0.19144782423973083
hall,4,11,4330,4330,4330,1.0,0.05172501876950264,0.05595514550805092,0.0704285129904747,0.0985083205997944,0.11880933493375778
hall,4,12,4330,4330,4330,1.0,0.04886133223772049,0.05478297919034958,0.06962021067738533,0.09763831578195095,0.12880422174930573
hall,4,13,4330,4330,4330,1.0,0.04887686297297478,0.055282586403191086,0.06963986903429031,0.09703515335917473,0.34702035784721375
hall,4,14,4330,4330,4330,1.0,0.0516471266746521,0.0559691109880805,0.06981182843446732,0.09754182264208794,0.13195867836475372
hall,4,15,4330,4330,4330,1.0,0.0487770177423954,0.055968496948480606,0.06990119442343712,0.09967789828777314,0.11628374457359314
hall,4,16,4330,4330,4330,1.0,0.051633499562740326,0.055968496948480606,0.07029356062412262,0.09664681680500509,0.1490621715784073
hall,4,17,4330,4330,4330,1.0,0.05164625123143196,0.055968496948480606,0.07034138590097427,0.09904092997312545,0.12105321139097214
hall,4,18,4330,4330,4330,1.0,0.0488496795296669,0.05521231144666672,0.07042791694402695,0.0978789032995701,0.11274487525224686
hall,4,19,4330,4330,4330,1.0,0.04921628162264824,0.05595480959862471,0.0702938549220562,0.09802623316645623,0.3383805751800537
hall,4,20,4330,4330,4330,1.0,0.04921586439013481,0.055211512520909306,0.06980320811271667,0.09769912138581276,0.18697106838226318
hall,4,21,4330,4330,4330,1.0,0.04921377822756767,0.055968496948480606,0.07031212002038956,0.09792389065027238,0.17553286254405975
hall,4,22,4330,4330,4330,1.0,0.05076098069548607,0.05595514550805092,0.07031092047691345,0.09796272911131385,0.11520322412252426
hall,4,23,4330,4330,4330,1.0,0.05040751025080681,0.05499326426535845,0.06962021067738533,0.09816395178437234,0.330665647983551
hall,4,24,4330,4330,4330,1.0,0.05023127421736717,0.056115396320819855,0.07031092047691345,0.09888534538447859,0.11375077813863754
hall,4,25,4330,4330,4330,1.0,0.05059587210416794,0.05595874302089214,0.06969663873314857,0.09643678851425648,0.3310343325138092
hall,4,26,4330,4330,4330,1.0,0.04886133223772049,0.05472802121192217,0.07031121850013733,0.09792201891541481,0.19777336716651917
